Timestamp,Price,Market Cap,Volume,Coin
2013-07-22 00:00:00.000,90.3672,1034399451.0,0.0,btc
2013-07-23 00:00:00.000,91.7024,1050054379.0,0.0,btc
2013-07-24 00:00:00.000,94.5806,1083333286.0,0.0,btc
2013-07-25 00:00:00.000,94.525,1083076902.0,0.0,btc
2013-07-26 00:00:00.000,96.9499,1111232483.0,0.0,btc
2013-07-27 00:00:00.000,94.13,1079278107.0,0.0,btc
2013-07-28 00:00:00.000,94.005,1078286703.0,0.0,btc
2013-07-29 00:00:00.000,98.5759,1131111629.0,0.0,btc
2013-07-30 00:00:00.000,101.5,1165105812.0,0.0,btc
2013-07-31 00:00:00.000,110.34,1267183179.0,0.0,btc
2013-08-01 00:00:00.000,106.23,1220481782.0,0.0,btc
2013-08-02 00:00:00.000,101.61,1167849454.0,0.0,btc
2013-08-03 00:00:00.000,103.7,1192378895.0,0.0,btc
2013-08-04 00:00:00.000,104.86,1206152150.0,0.0,btc
2013-08-05 00:00:00.000,106.56,1226188584.0,0.0,btc
2013-08-06 00:00:00.000,105.841,1218425716.0,0.0,btc
2013-08-07 00:00:00.000,106.75,1229098150.0,0.0,btc
2013-08-08 00:00:00.000,101.672,1171586790.0,0.0,btc
2013-08-09 00:00:00.000,103.4,1192028805.0,0.0,btc
2013-08-10 00:00:00.000,102.71,1184605785.0,0.0,btc
2013-08-11 00:00:00.000,103.77,1197378682.0,0.0,btc
2013-08-12 00:00:00.000,105.18,1214268916.0,0.0,btc
2013-08-13 00:00:00.000,106.068,1225008501.0,0.0,btc
2013-08-14 00:00:00.000,111.621,1289602061.0,0.0,btc
2013-08-15 00:00:00.000,111.87,1292943118.0,0.0,btc
2013-08-16 00:00:00.000,109.867,1270257534.0,0.0,btc
2013-08-17 00:00:00.000,112.74,1304015666.0,0.0,btc
2013-08-18 00:00:00.000,114.4,1323762440.0,0.0,btc
2013-08-19 00:00:00.000,118.782,1375023402.0,0.0,btc
2013-08-20 00:00:00.000,120.5,1395441212.0,0.0,btc
2013-08-21 00:00:00.000,121.51,1407757143.0,0.0,btc
2013-08-22 00:00:00.000,122.499,1419858347.0,0.0,btc
2013-08-23 00:00:00.000,120.0,1391517000.0,0.0,btc
2013-08-24 00:00:00.000,120.44,1397179275.0,0.0,btc
2013-08-25 00:00:00.000,122.0,1415749000.0,0.0,btc
2013-08-26 00:00:00.000,122.04,1416676932.0,0.0,btc
2013-08-27 00:00:00.000,125.67,1459371151.0,0.0,btc
2013-08-28 00:00:00.000,123.02,1429111038.0,0.0,btc
2013-08-29 00:00:00.000,123.44,1434594992.0,0.0,btc
2013-08-30 00:00:00.000,129.2,1502172870.0,0.0,btc
2013-08-31 00:00:00.000,137.76,1602407100.0,0.0,btc
2013-09-01 00:00:00.000,138.17,1607960283.0,0.0,btc
2013-09-02 00:00:00.000,137.17,1597132036.0,0.0,btc
2013-09-03 00:00:00.000,137.51,1601702729.0,0.0,btc
2013-09-04 00:00:00.000,135.21,1575534525.0,0.0,btc
2013-09-05 00:00:00.000,129.96,1514888487.0,0.0,btc
2013-09-06 00:00:00.000,126.13,1470861842.0,0.0,btc
2013-09-07 00:00:00.000,123.73,1443353756.0,0.0,btc
2013-09-08 00:00:00.000,121.77,1420952396.0,0.0,btc
2013-09-09 00:00:00.000,126.4,1475596760.0,0.0,btc
2013-09-10 00:00:00.000,127.78,1492304286.0,0.0,btc
2013-09-11 00:00:00.000,131.65,1538132775.0,0.0,btc
2013-09-12 00:00:00.000,134.22,1568874092.0,0.0,btc
2013-09-13 00:00:00.000,135.05,1579271324.0,0.0,btc
2013-09-14 00:00:00.000,131.39,1537187451.0,0.0,btc
2013-09-15 00:00:00.000,129.95,1520967287.0,0.0,btc
2013-09-16 00:00:00.000,131.48,1539430293.0,0.0,btc
